Name,MemoryPosition,midiType,midiType_2nd,Note,Note_2nd,MaximumValue,MaximumValue_2nd,MinimumValue,MinimumValue_2nd,MidiChannel,MidiChannel_2nd,Toggle,Toggle_2nd,Keys,Keys_2nd,Modifiers,Modifiers_2nd,DMXAddress,DMXAddress_2nd,Page,Hide,posX,posY,shape,dimensionX,dimensionY,labeler,led,led_2nd,hint_message,User_byte_3,User_byte_4,User_byte_5,User_byte_6,User_byte_7,User_byte_8,User_byte_9,User_byte_10,User_byte_11,User_byte_12,User_byte_14
B23,46,0,0,82,82,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,241,525,1,38,41,1,22,22,Push button + LED,0,0,0,0,0,0,0,0,0,0,0
B24,45,0,0,83,83,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,301,525,1,38,41,1,21,21,Push button + LED,0,0,0,0,0,0,0,0,0,0,0
B26,51,0,0,85,85,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,45,225,1,58,61,1,32,32,Push button ARCADE,0,0,0,0,0,0,0,0,0,0,0
B27,49,0,0,86,86,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,45,435,1,58,61,1,32,32,Push button ARCADE,0,0,0,0,0,0,0,0,0,0,0
B25,52,0,0,84,84,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,38,511,1,58,61,1,32,32,Push button ARCADE,0,0,0,0,0,0,0,0,0,0,0
B28,56,0,0,88,88,127,127,0,0,1,2,1,1,0,0,0,0,1,1,0,0,139,158,1,58,61,1,32,32,Push button ARCADE,0,0,0,0,0,0,0,0,0,0,0
B29,55,0,0,89,89,127,127,0,0,1,2,1,1,0,0,0,0,2,2,0,0,260,158,1,58,61,1,32,32,Push button ARCADE,0,0,0,0,0,0,0,0,0,0,0
B30,54,0,0,90,90,127,127,0,0,1,2,1,1,0,0,0,0,3,3,0,0,382,158,1,58,61,1,32,32,Push button ARCADE,0,0,0,0,0,0,0,0,0,0,0
B31,53,0,0,91,91,127,127,0,0,1,2,1,1,0,0,0,0,4,4,0,0,504,158,1,58,61,1,32,32,Push button ARCADE,0,0,0,0,0,0,0,0,0,0,0
B32,50,0,0,87,87,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,605,511,1,58,61,1,32,32,Push button ARCADE,0,0,0,0,0,0,0,0,0,0,0
J1,58,2,2,53,53,127,127,8,8,1,2,21,21,0,0,0,0,1,1,0,0,30,330,7,76,81,1,24,24,Side Spinner,0,0,0,0,0,0,0,0,0,0,0
T1,59,2,2,93,93,4,4,70,70,1,2,23,23,0,0,0,0,0,0,0,0,30,300,8,58,15,1,0,0,Touch sensor,0,0,0,0,0,0,0,0,0,0,0
JY,34,2,2,41,41,127,127,0,0,1,2,11,11,0,0,0,0,0,0,0,0,600,210,8,61,14,1,24,24,Joystick - Y axis,0,0,0,0,0,0,0,0,0,0,0
JX,33,2,2,42,42,127,127,0,0,1,2,11,11,0,0,0,0,0,0,0,0,600,240,8,61,14,1,0,0,Joystick - X axis,0,0,0,0,0,0,0,0,0,0,0
JB,36,2,0,92,92,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,30,200,8,61,14,1,0,0,Joystick - Push button,0,0,0,0,0,0,0,0,0,0,0
page,35,2,2,10,10,127,127,0,0,1,1,17,17,0,0,0,0,0,0,0,0,600,270,8,61,14,1,24,24,Page switch,0,0,0,0,0,0,0,0,0,0,0
Mouse,57,0,0,0,0,34,34,33,33,1,1,25,25,0,0,0,0,1,1,0,0,600,300,8,61,14,1,0,0,Mouse emulation,0,0,0,0,0,0,0,0,0,0,0
GENERAL,60,0,0,0,0,13,13,1,1,1,1,26,26,3,3,0,0,1,1,0,0,600,330,8,61,14,1,24,24,Circuit settings,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1024,600,,,,,,,,,,,,,,,
